annot	BH.Q	ADJ.P	PER	LAG	AMP
sin_1	0.986370157819225	0.25	24	0	11.073319620825
sin_2	0.986370157819225	0.25	24	20	12.3433611217631
sin_3	1	1	24	4	218.945071112015
sin_4	0.986370157819225	0.25	24	12	35.4996709341679
sin_5	1	1	24	8	18.0633033351193
sin_6	1	1	24	20	51.838810927897
sin_7	1	1	24	0	40.2029046934021
sin_8	0.986370157819225	0.25	24	12	6.0665502934025
sin_9	1	1	24	8	13.076202689034
sin_10	0.986370157819225	0.25	24	8	7.97435630004371
sin_11	0.986370157819225	0.25	24	20	158.359151452517
sin_12	1	1	24	8	29.6579675485656
sin_13	1	1	24	16	80.077935054288
sin_14	1	1	24	12	15.8297230561241
sin_15	1	1	24	12	22.3553032307029
sin_16	0.986370157819225	0.25	24	0	391.110198712722
sin_17	1	1	24	0	20.7177667870093
sin_18	1	1	24	8	3.48505924664624
sin_19	1	1	24	12	51.9989173841809
sin_20	0.986370157819225	0.25	24	8	2.87186362597062
sin_21	1	1	24	8	7.1078249448861
sin_22	0.986370157819225	0.25	24	20	17.1929236323235
sin_23	0.986370157819225	0.25	24	12	9.26213671878901
sin_24	1	1	24	0	11.3266645752867
sin_25	0.986370157819225	0.25	24	20	6.14545637107376
sin_26	0.986370157819225	0.25	24	12	4.52635527581075
sin_27	0.986370157819225	0.25	24	0	79.3639432327094
sin_28	1	1	24	16	57.6733108334619
sin_29	1	1	24	16	9.88174653381207
sin_30	0.986370157819225	0.25	24	4	74.1215288457327
sin_31	0.986370157819225	0.25	24	16	41.3321724249151
sin_32	1	1	24	12	6.66983045770008
sin_33	0.986370157819225	0.25	24	16	111.705328796785
sin_34	1	1	24	12	22.4815054484372
sin_35	1	1	24	20	36.8500974310125
sin_36	1	1	24	8	12.0282338855376
sin_37	1	1	24	20	38.4717500509069
sin_38	1	1	24	0	37.0662584290486
sin_39	1	1	24	0	30.3927076971809
sin_40	1	1	24	4	18.9708868147725
sin_41	1	1	24	20	7.87261833572603
sin_42	0.986370157819225	0.25	24	0	10.5513026190215
sin_43	1	1	24	20	3.02458742569117
sin_44	0.986370157819225	0.25	24	8	659.030637619399
sin_45	1	1	24	0	87.1925304231187
sin_46	1	1	24	20	12.4268856337205
sin_47	0.986370157819225	0.25	24	12	16.799582141886
sin_48	0.986370157819225	0.25	24	0	10.3596920612879
