annot	BH.Q	ADJ.P	PER	LAG	AMP
sin_1	0.00161095438046512	0.000497638453165499	28	26	8.13436526517366
sin_2	4.51056702833729e-05	3.51824228210309e-06	28	22	11.7864665547322
sin_3	0.000203223961335113	3.50284209719431e-05	24	22	140.233297886683
sin_4	3.36021997706227e-05	2.11082909468185e-06	24	10	16.294243464038
sin_5	0.00161095438046512	0.000497638453165499	28	6	19.3711103870078
sin_6	0.00161095438046512	0.000497638453165499	24	18	223.370368057631
sin_7	0.000109800040677501	1.46433326976268e-05	28	0	31.7947466514449
sin_8	4.51056702833729e-05	3.51824228210309e-06	28	12	6.32640747517721
sin_9	2.63137806394765e-05	1.24153201380803e-06	24	8	9.35171717352589
sin_10	8.04890516936663e-05	9.25624094477162e-06	28	2	11.9072169834148
sin_11	5.99055355301889e-05	5.7563773686736e-06	24	18	142.170530087346
sin_12	8.04890516936663e-05	9.25624094477162e-06	24	10	32.7433035026057
sin_13	0.000497599477685734	0.00011711682252076	24	18	28.9473297421677
sin_14	0.000372045620488337	7.93133618222865e-05	24	18	25.7708120812391
sin_15	0.000109800040677501	1.46433326976268e-05	24	8	8.85460059556139
sin_16	0.0880848758654366	0.0512493823217086	28	0	221.317768933825
sin_17	0.000901374003606055	0.000246648704623112	24	8	28.9267497972721
sin_18	0.0123074267103839	0.00572966656217055	24	8	2.78539313860343
sin_19	0.00120297947505642	0.000352144900880152	24	16	38.678755225304
sin_20	0.000497599477685734	0.00011711682252076	24	8	11.8627450831881
sin_21	0.000149994148262951	2.28127463676288e-05	24	8	6.32689248634826
sin_22	0.000274109692142189	5.30526849609746e-05	28	0	15.3362583721572
sin_23	0.000149994148262951	2.28127463676288e-05	28	6	5.75628308029511
sin_24	0.00365881148205231	0.00132615285263114	24	2	7.72134255831356
sin_25	0.000497599477685734	0.00011711682252076	24	18	8.14501148772069
sin_26	8.04890516936663e-05	9.25624094477162e-06	24	8	3.74309893602344
sin_27	5.99055355301889e-05	5.7563773686736e-06	24	0	51.2788805111561
sin_28	0.000372045620488337	7.93133618222865e-05	24	16	21.1601876490523
sin_29	0.000203223961335113	3.50284209719431e-05	28	26	7.10339804412457
sin_30	4.51056702833729e-05	3.51824228210309e-06	28	4	97.8119737575136
sin_31	1.4996817936214e-05	4.02187390107558e-07	28	14	29.1978103883504
sin_32	0.000203223961335113	3.50284209719431e-05	24	14	9.8158642998962
sin_33	0.000901374003606055	0.000246648704623112	24	16	52.2378340649665
sin_34	0.000901374003606055	0.000246648704623112	24	6	49.1768204032414
sin_35	0.000274109692142189	5.30526849609746e-05	24	18	49.1562917330471
sin_36	0.0123074267103839	0.00572966656217055	28	6	35.2862411638112
sin_37	0.000274109692142189	5.30526849609746e-05	28	20	33.3009389333966
sin_38	0.000274109692142189	5.30526849609746e-05	24	4	15.5523077055539
sin_39	0.0123074267103839	0.00572966656217055	28	2	11.1839874011294
sin_40	0.00279001621409544	0.000965345610077022	24	8	11.3978886486202
sin_41	0.000901374003606055	0.000246648704623112	28	26	9.38311829923109
sin_42	0.00554318294319128	0.00212253514152015	28	26	16.5862675354591
sin_43	7.67208419753243e-06	1.17871111762089e-07	28	0	7.28537120467714
sin_44	0.00966700559126188	0.00434312196654693	24	8	586.238718787099
sin_45	3.36021997706227e-05	2.11082909468185e-06	28	26	108.176134876953
sin_46	0.000109800040677501	1.46433326976268e-05	28	24	6.995298429743
sin_47	0.000372045620488337	7.93133618222865e-05	24	14	11.4330385012071
sin_48	0.000668592822516372	0.000170916637901458	24	4	12.7399158593669
sin_49	8.04890516936663e-05	9.25624094477162e-06	28	12	45.9063656390053
sin_50	0.000901374003606055	0.000246648704623112	24	4	21.9170764481235
sin_51	4.51056702833729e-05	3.51824228210309e-06	24	16	26.6540867172287
sin_52	1.96574439612938e-05	7.14816144047047e-07	28	18	16.5153851016955
sin_53	0.000109800040677501	1.46433326976268e-05	24	4	13.3253715136664
sin_54	0.000668592822516372	0.000170916637901458	24	22	123.04930039358
sin_55	0.000274109692142189	5.30526849609746e-05	24	0	12.145574189642
sin_56	0.000497599477685734	0.00011711682252076	28	20	173.309558324347
sin_57	0.0308960067997741	0.0161726551957363	24	0	4.25563568159106
sin_58	0.000668592822516372	0.000170916637901458	24	12	45.5542316283361
sin_59	0.000372045620488337	7.93133618222865e-05	24	8	24.0917190915072
sin_60	5.99055355301889e-05	5.7563773686736e-06	28	26	20.1720192718048
sin_61	0.00591607867894528	0.0024390378917288	24	18	22.4130584242897
sin_62	1.4996817936214e-05	4.02187390107558e-07	28	16	8.69089701638471
sin_63	0.000149994148262951	2.28127463676288e-05	28	20	12.8678001845462
sin_64	0.000149994148262951	2.28127463676288e-05	28	16	7.57119060635902
sin_65	0.000203223961335113	3.50284209719431e-05	24	0	7.52416591140493
sin_66	0.000203223961335113	3.50284209719431e-05	28	6	22.5831594733071
sin_67	0.00591607867894528	0.0024390378917288	28	14	25.5842863728512
sin_68	0.000203223961335113	3.50284209719431e-05	24	8	26.254735144245
sin_69	3.36021997706227e-05	2.11082909468185e-06	24	16	57.3185995558953
sin_70	6.16635677287171e-06	6.11029898402742e-08	28	26	522.884383904433
sin_71	0.00120297947505642	0.000352144900880152	28	22	6.15056129574477
sin_72	0.000109800040677501	1.46433326976268e-05	24	22	2.66307439424571
sin_73	0.000668592822516372	0.000170916637901458	28	18	71.0093577358281
sin_74	0.00212368373416962	0.000696375202649982	24	22	9.78213406317859
sin_75	0.000668592822516372	0.000170916637901458	24	22	7.3113699161281
sin_76	0.000203223961335113	3.50284209719431e-05	24	10	78.1016451572338
sin_77	0.00472670861394873	0.0018060323913115	24	10	14.6946046678522
sin_78	8.04890516936663e-05	9.25624094477162e-06	28	20	7.11823496346092
sin_79	3.36021997706227e-05	2.11082909468185e-06	28	2	22.5775678190872
sin_80	0.00757140958689747	0.00326740739172748	28	12	13.298588958567
sin_81	1.08870267371478e-05	2.20709723853086e-07	28	24	16.9916583313298
sin_82	8.04890516936663e-05	9.25624094477162e-06	24	2	21.8545081466261
sin_83	0.00161095438046512	0.000497638453165499	28	4	11.6340862399156
sin_84	0.00120297947505642	0.000352144900880152	24	18	35.6329279093422
sin_85	0.000274109692142189	5.30526849609746e-05	24	4	10.0308670992709
sin_86	0.000149994148262951	2.28127463676288e-05	24	20	26.2755272808297
sin_87	0.000274109692142189	5.30526849609746e-05	24	22	61.6303953423225
sin_88	0.00161095438046512	0.000497638453165499	28	4	26.6279127127058
sin_89	8.04890516936663e-05	9.25624094477162e-06	28	0	9.64585193583088
sin_90	0.000274109692142189	5.30526849609746e-05	28	14	94.0720953532955
sin_91	0.000668592822516372	0.000170916637901458	24	22	68.754448103112
sin_92	0.000497599477685734	0.00011711682252076	28	12	38.0542344735002
sin_93	0.00365881148205231	0.00132615285263114	24	18	24.6127192285239
sin_94	0.000372045620488337	7.93133618222865e-05	24	10	10.4742407348192
sin_95	0.000109800040677501	1.46433326976268e-05	28	12	131.843484090878
sin_96	0.00365881148205231	0.00132615285263114	24	8	7.54901089700616
sin_97	8.04890516936663e-05	9.25624094477162e-06	24	4	711.325226871303
sin_98	2.63137806394765e-05	1.24153201380803e-06	28	26	135.464844427557
sin_99	0.000372045620488337	7.93133618222865e-05	24	10	16.8513322373605
sin_100	4.51056702833729e-05	3.51824228210309e-06	28	14	6.81506284090036
sin_101	1.08870267371478e-05	2.20709723853086e-07	24	20	9.3841466805411
sin_102	4.51056702833729e-05	3.51824228210309e-06	24	16	28.4373304859773
sin_103	0.000497599477685734	0.00011711682252076	28	26	16.106890579991
sin_104	0.000497599477685734	0.00011711682252076	24	4	10.0498349624647
sin_105	0.00472670861394873	0.0018060323913115	24	0	7.67786424131746
sin_106	0.000203223961335113	3.50284209719431e-05	28	2	15.0153138786132
sin_107	0.000274109692142189	5.30526849609746e-05	24	0	9.55889310245846
sin_108	4.51056702833729e-05	3.51824228210309e-06	24	4	4.36756570941647
sin_109	0.00120297947505642	0.000352144900880152	24	20	9.64831098591767
sin_110	0.000149994148262951	2.28127463676288e-05	24	16	63.9930564077989
sin_111	0.000274109692142189	5.30526849609746e-05	28	2	10.5380380221269
sin_112	0.00365881148205231	0.00132615285263114	24	10	37.4940218977809
sin_113	5.99055355301889e-05	5.7563773686736e-06	28	2	4.42823960835997
sin_114	0.000901374003606055	0.000246648704623112	24	6	14.3553345614399
sin_115	7.67208419753243e-06	1.17871111762089e-07	28	10	31.7473277787689
sin_116	0.00757140958689747	0.00326740739172748	24	4	29.3249521397443
sin_117	0.000372045620488337	7.93133618222865e-05	24	8	20.8896467477264
sin_118	0.000372045620488337	7.93133618222865e-05	24	10	9.8100034191128
sin_119	5.99055355301889e-05	5.7563773686736e-06	24	4	8.63396721245541
sin_120	5.99055355301889e-05	5.7563773686736e-06	24	16	5.55969730790058
sin_121	0.00120297947505642	0.000352144900880152	24	0	20.0103745801538
sin_122	0.00212368373416962	0.000696375202649982	28	26	6.52747003878431
sin_123	0.000274109692142189	5.30526849609746e-05	24	10	12.7714495232183
sin_124	0.000109800040677501	1.46433326976268e-05	24	4	14.29266585269
sin_125	0.00757140958689747	0.00326740739172748	24	20	295.187813487735
sin_126	0.000668592822516372	0.000170916637901458	28	10	10.1069119407207
sin_127	0.000274109692142189	5.30526849609746e-05	24	16	26.551846981105
sin_128	0.000901374003606055	0.000246648704623112	24	10	19.700793368748
sin_129	0.000149994148262951	2.28127463676288e-05	28	0	7.13276967822045
sin_130	0.000901374003606055	0.000246648704623112	24	2	18.3411065671851
sin_131	2.63137806394765e-05	1.24153201380803e-06	28	26	151.974486834417
sin_132	0.00161095438046512	0.000497638453165499	24	20	33.5111222792764
sin_133	0.00279001621409544	0.000965345610077022	28	24	19.4633715000584
sin_134	0.000372045620488337	7.93133618222865e-05	28	26	11.8852229739038
sin_135	5.99055355301889e-05	5.7563773686736e-06	24	0	3.81101736930301
sin_136	0.00279001621409544	0.000965345610077022	28	14	50.2037274251001
sin_137	0.000901374003606055	0.000246648704623112	28	4	4.1477901508851
sin_138	0.000668592822516372	0.000170916637901458	24	14	31.8403697386515
sin_139	0.000109800040677501	1.46433326976268e-05	24	4	271.473146198705
sin_140	0.000497599477685734	0.00011711682252076	24	10	4.99980548878547
sin_141	0.00212368373416962	0.000696375202649982	24	2	31.2002292508939
sin_142	5.99055355301889e-05	5.7563773686736e-06	28	0	15.1035116917306
sin_143	8.04890516936663e-05	9.25624094477162e-06	24	18	4.65155085247285
sin_144	1.39584342508933e-06	5.07579427305212e-10	28	12	6.15192577179388
sin_145	0.000901374003606055	0.000246648704623112	24	22	2.88026004128408
sin_146	0.000149994148262951	2.28127463676288e-05	28	18	7.06337190253659
sin_147	0.000203223961335113	3.50284209719431e-05	24	10	6.62121036763038
sin_148	0.00212368373416962	0.000696375202649982	24	20	41.71310928732
sin_149	0.000203223961335113	3.50284209719431e-05	24	20	408.12205294449
sin_150	0.000901374003606055	0.000246648704623112	24	4	4.53290354925962
sin_151	2.63137806394765e-05	1.24153201380803e-06	24	16	42.5905997786345
sin_152	0.000274109692142189	5.30526849609746e-05	24	6	56.4797173051937
sin_153	5.99055355301889e-05	5.7563773686736e-06	28	0	26.3033597078282
sin_154	0.0123074267103839	0.00572966656217055	28	24	6.34739692243568
sin_155	0.000901374003606055	0.000246648704623112	24	18	13.5077554586258
sin_156	0.00330187098372934	0.00114574923135408	24	14	12.5926011797179
sin_157	5.99055355301889e-05	5.7563773686736e-06	24	2	30.3073978410034
sin_158	0.00120297947505642	0.000352144900880152	28	16	9.38809549634743
sin_159	0.000149994148262951	2.28127463676288e-05	24	6	65.8570954887145
sin_160	0.00279001621409544	0.000965345610077022	28	22	10.3265112055802
sin_161	0.00120297947505642	0.000352144900880152	24	4	83.5224509150238
sin_162	0.000274109692142189	5.30526849609746e-05	24	20	6.33959794550504
sin_163	0.000497599477685734	0.00011711682252076	24	22	6.37350687862611
sin_164	0.000274109692142189	5.30526849609746e-05	28	2	8024.25321965735
sin_165	7.67208419753243e-06	1.17871111762089e-07	28	16	11.6686034755866
sin_166	8.04890516936663e-05	9.25624094477162e-06	24	6	22.811736599298
sin_167	0.000203223961335113	3.50284209719431e-05	24	12	44.4689824718638
sin_168	0.00161095438046512	0.000497638453165499	28	6	9.30597480895047
sin_169	0.00120297947505642	0.000352144900880152	24	6	32.7854276523755
sin_170	0.00161095438046512	0.000497638453165499	28	26	31.0083312353563
sin_171	4.95844622678793e-06	3.06522130383254e-08	24	22	14.4086066517405
sin_172	0.000497599477685734	0.00011711682252076	24	4	21.4889385475628
sin_173	0.00365881148205231	0.00132615285263114	28	2	14.490651797542
sin_174	2.63137806394765e-05	1.24153201380803e-06	24	0	560.164834436765
sin_175	0.000203223961335113	3.50284209719431e-05	28	14	10.9665209897564
sin_176	0.00365881148205231	0.00132615285263114	28	12	8.45137913485797
sin_177	0.000109800040677501	1.46433326976268e-05	24	16	17.2519313504544
sin_178	0.000497599477685734	0.00011711682252076	24	16	27.1180070059202
sin_179	0.000339716872285551	6.61830233916305e-05	24	12	33.8527786989544
sin_180	7.67208419753243e-06	1.17871111762089e-07	24	12	10.9369699205673
sin_181	8.04890516936663e-05	9.25624094477162e-06	28	2	7.36811807959822
sin_182	0.000109800040677501	1.46433326976268e-05	24	22	103.780662563893
sin_183	0.000203223961335113	3.50284209719431e-05	28	8	9.63984189561047
